Author,Title,Opening Technique,Stylistic note,Tense,Voice,First Paragraph,
"Munro, Alice",Meneseteung,Detail,N/A,Present,Third,Offerings the book is called. Gold lettering on a dull-blue cover. The author's full name underneath:,
"Munro, Alice",Friend of My Youth,Memory,Introspection,Past,First,"I used to dream about my mother and those the details in the dream varied, the surprise in it was always the same. The dream stopped, I suppose, because it was too transparent in its hopefulness, too easy it is forgiveness.",
"Munro, Alice",Five Points,Action,Lifestyle,Present,Third,"While they drink vodka and orange juice in the trailer park on the cliffs above Lake Huron, Neil Bauer tells Brenda a story. It happened a long way away, in Victoria, British Columbia, where Neil grew up. Neil is not much younger than Brenda -- less than three years -- but it sometimes feels to her like a generation gap, because she grew up here, and stayed here, marrying Cornelius Zendt when she was twenty years old, and Neil grew up on the West Coast, where things were very different, and he left home at sixteen to travel and work all over.",
"Munro, Alice","Hold Me Fast, Don't Let Me Pass",Detail,Realia,Past,Third,"Ruins of ""Kirk of the Forest."" Old graveyard. William Wallace declared Guardian of Scotland here, 1298.",
"Munro, Alice",Oranges and Apples,Dialogue,Cultural,Past,Third,"""I hired a looker from out Shawtown,"" Murray's father said. ""She's a Delaney, but so far she doesn't seem to have any bad habits. I put her in Men's Wear.""",
"Munro, Alice",Pictures of the Ice,Action,Starts with a flash-forward,Past,Third,"Three weeks before he died -- drowned in a boating accident in a lake whose name nobody had heard him mention -- Austin Cobbett stood deep in the clasp of a three-way mirror in  Crawford's Men's Wear, in Logan, looking at himself in a burgundy sports shirt and a pair of cream, brown, and burgundy plaid pants. Both permanent press.",
"Munro, Alice",Goodness and Mercy,Action,Descriptive,Past,Third,"Bugs said so long to the disappearing land, a dark-blue finger of Labrador. The ship was passing through the Strait of Belle Isle, on its third day out from Montreal.",
"Munro, Alice","Oh, What Avails",Setting,Character quirk,Present,Third,"They are in the dining room. The varnished floor is bare except for the rug in front of the china cabinet. There is not much furniture -- a long table, some chairs, the piano, the china cabinet. On the inside of the windows, all the wooden shutters are closed. These shutters are painted a dull blue, a grayish blue. Some of the paint on them, and on the window frames, has flaked away. Some of it Joan has encouraged to flake away, using her fingernails.",
"Munro, Alice",Differently,Backstory,Metatextual,Past,Third,"George once took a creative-writing course, and what the instructor told her was: Too many things. Too many things going on at the same time; also, too many people. Think, he told her. What is the important thing? What do you want us to pay attention to? Think.",
"Munro, Alice",Wigtime,Action,N/A,Past,Third,"When her mother was dying in the Walley Hospital, Anita came home to take care of her--though nursing was not what she did anymore. She was stopped one day in the corridor by a short, broad-shouldered, broad-hipped woman with clipped grayish-brown hair.",
"Glaspell, Susan",A Jury of Her Peers,Action,Mystery,Past,Third,"When Martha Hale opened the storm-door and got a cut of the north wind, she ran back for her big woolen scarf. As she hurriedly wound that round her head her eye made a scandalized sweep of her kitchen. It was no ordinary thing that called her away -- it was probably farther from ordinary than anything that had ever happened in Dickson County. But what her eye took in was that her kitchen was in no shape for leaving: her bread all ready for mixing, half the flour sifted and half unsifted.",
"Joyce, James",The Sisters,Action,Close third person; Interiority,Past,Third,"There was no hope for him this time: it was the third stroke. Night after night I had passed the house (it was vacation time) and studied the lighted square of window: and night after night I had found it lighted in the same way, faintly and evenly. If he was dead, I thought, I would see the reflection of candles on the darkened blind for I knew that two candles must be set at the head of a corpse. He had often said to me: “I am not long for this world,” and I had thought his words idle. Now I knew they were true. Every night as I gazed up at the window I said softly to myself the word paralysis. It had always sounded strangely in my ears, like the word gnomon in the Euclid and the word simony in the Catechism. But now it sounded to me like the name of some maleficent and sinful being. It filled me with fear, and yet I longed to be nearer to it and to look upon its deadly work.",
"Joyce, James",An Encounter,Action,Backstory,Past,Third,"It was Joe Dillon who introduced the Wild West to us. He had a little
library made up of old numbers of _The Union Jack_, _Pluck_ and _The
Halfpenny Marvel_. Every evening after school we met in his back garden
and arranged Indian battles. He and his fat young brother Leo, the
idler, held the loft of the stable while we tried to carry it by storm;
or we fought a pitched battle on the grass. But, however well we
fought, we never won siege or battle and all our bouts ended with Joe
Dillon’s war dance of victory. His parents went to eight-o’clock mass
every morning in Gardiner Street and the peaceful odour of Mrs Dillon
was prevalent in the hall of the house. But he played too fiercely for
us who were younger and more timid. He looked like some kind of an
Indian when he capered round the garden, an old tea-cosy on his head,
beating a tin with his fist and yelling:

“Ya! yaka, yaka, yaka!”",
"Joyce, James",Araby,Setting,N/A,Past,First,"North Richmond Street, being blind, was a quiet street except at the
hour when the Christian Brothers’ School set the boys free. An
uninhabited house of two storeys stood at the blind end, detached from
its neighbours in a square ground. The other houses of the street,
conscious of decent lives within them, gazed at one another with brown
imperturbable faces.",
"Joyce, James",Eveline,Action,Understated,Past,Third,"She sat at the window watching the evening invade the avenue. Her head
was leaned against the window curtains and in her nostrils was the
odour of dusty cretonne. She was tired.",
"Joyce, James",After the Race,Action,N/A,Past,Third,"The cars came scudding in towards Dublin, running evenly like pellets
in the groove of the Naas Road. At the crest of the hill at Inchicore
sightseers had gathered in clumps to watch the cars careering homeward
and through this channel of poverty and inaction the Continent sped its
wealth and industry. Now and again the clumps of people raised the
cheer of the gratefully oppressed. Their sympathy, however, was for the
blue cars—the cars of their friends, the French.",
"Joyce, James",Two Gallants,Setting,N/A,Past,Third,"The grey warm evening of August had descended upon the city and a mild
warm air, a memory of summer, circulated in the streets. The streets,
shuttered for the repose of Sunday, swarmed with a gaily coloured
crowd. Like illumined pearls the lamps shone from the summits of their
tall poles upon the living texture below which, changing shape and hue
unceasingly, sent up into the warm grey evening air an unchanging
unceasing murmur.",
"Joyce, James",The Boarding House,Character,N/A,Past,Third,"Mrs Mooney was a butcher’s daughter. She was a woman who was quite able
to keep things to herself: a determined woman. She had married her
father’s foreman and opened a butcher’s shop near Spring Gardens. But
as soon as his father-in-law was dead Mr Mooney began to go to the
devil. He drank, plundered the till, ran headlong into debt. It was no
use making him take the pledge: he was sure to break out again a few
days after. By fighting his wife in the presence of customers and by
buying bad meat he ruined his business. One night he went for his wife
with the cleaver and she had to sleep in a neighbour’s house.",
"Joyce, James",A Little Cloud,Backstory,N/A,Past,Third,"Eight years before he had seen his friend off at the North Wall and
wished him godspeed. Gallaher had got on. You could tell that at once
by his travelled air, his well-cut tweed suit, and fearless accent. Few
fellows had talents like his and fewer still could remain unspoiled by
such success. Gallaher’s heart was in the right place and he had
deserved to win. It was something to have a friend like that.",
"Joyce, James",Counterparts,Dialogue,N/A,Past,Third,"The bell rang furiously and, when Miss Parker went to the tube, a
furious voice called out in a piercing North of Ireland accent:

“Send Farrington here!”

Miss Parker returned to her machine, saying to a man who was writing at
a desk:

“Mr Alleyne wants you upstairs.”",
"Joyce, James",Clay,Backstory,N/A,Past,Third,"The matron had given her leave to go out as soon as the women’s tea was
over and Maria looked forward to her evening out. The kitchen was spick
and span: the cook said you could see yourself in the big copper
boilers. The fire was nice and bright and on one of the side-tables
were four very big barmbracks. These barmbracks seemed uncut; but if
you went closer you would see that they had been cut into long thick
even slices and were ready to be handed round at tea. Maria had cut
them herself.",
"Joyce, James",A Painful Case,Character,N/a,Past,Third,"Mr James Duffy lived in Chapelizod because he wished to live as far as
possible from the city of which he was a citizen and because he found
all the other suburbs of Dublin mean, modern and pretentious. He lived
in an old sombre house and from his windows he could look into the
disused distillery or upwards along the shallow river on which Dublin
is built. The lofty walls of his uncarpeted room were free from
pictures. He had himself bought every article of furniture in the room:
a black iron bedstead, an iron washstand, four cane chairs, a
clothes-rack, a coal-scuttle, a fender and irons and a square table on
which lay a double desk. A bookcase had been made in an alcove by means
of shelves of white wood. The bed was clothed with white bedclothes and
a black and scarlet rug covered the foot. A little hand-mirror hung
above the washstand and during the day a white-shaded lamp stood as the
sole ornament of the mantelpiece. The books on the white wooden shelves
were arranged from below upwards according to bulk. A complete
Wordsworth stood at one end of the lowest shelf and a copy of the
_Maynooth Catechism_, sewn into the cloth cover of a notebook, stood at
one end of the top shelf. Writing materials were always on the desk. In
the desk lay a manuscript translation of Hauptmann’s _Michael Kramer_,
the stage directions of which were written in purple ink, and a little
sheaf of papers held together by a brass pin. In these sheets a
sentence was inscribed from time to time and, in an ironical moment,
the headline of an advertisement for _Bile Beans_ had been pasted on to
the first sheet. On lifting the lid of the desk a faint fragrance
escaped—the fragrance of new cedarwood pencils or of a bottle of gum or
of an overripe apple which might have been left there and forgotten.",
"Joyce, James",Ivy Day in the Committee Room,Action,N/A,Past,Third,"Old Jack raked the cinders together with a piece of cardboard and
spread them judiciously over the whitening dome of coals. When the dome
was thinly covered his face lapsed into darkness but, as he set himself
to fan the fire again, his crouching shadow ascended the opposite wall
and his face slowly re-emerged into light. It was an old man’s face,
very bony and hairy. The moist blue eyes blinked at the fire and the
moist mouth fell open at times, munching once or twice mechanically
when it closed. When the cinders had caught he laid the piece of
cardboard against the wall, sighed and said:

“That’s better now, Mr O’Connor.”",
"Joyce, James",A Mother,Backstory,N/A,Past,Third,"Mr Holohan, assistant secretary of the _Eire Abu_ Society, had been
walking up and down Dublin for nearly a month, with his hands and
pockets full of dirty pieces of paper, arranging about the series of
concerts. He had a game leg and for this his friends called him Hoppy
Holohan. He walked up and down constantly, stood by the hour at street
corners arguing the point and made notes; but in the end it was Mrs
Kearney who arranged everything.",
"Joyce, James",Grace,Action,N/A,Past,Third,"Two gentlemen who were in the lavatory at the time tried to lift him
up: but he was quite helpless. He lay curled up at the foot of the
stairs down which he had fallen. They succeeded in turning him over.
His hat had rolled a few yards away and his clothes were smeared with
the filth and ooze of the floor on which he had lain, face downwards.
His eyes were closed and he breathed with a grunting noise. A thin
stream of blood trickled from the corner of his mouth.",
